OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
760384,DEER LOAFER,2004,2453221.5,217,,9,Miscellaneous,,,,0.1,A,48.1853,-117.0756
1300407,,2007,2454317.5,217,1258,3,Smoking,2454317.5,217,1258,0.1,A,42.87922241,-78.70227533
1096076,MEACHIM                  ,1995,2449934.5,217,,2,Equipment Use,,,,0.3,B,38.29,-122.6919444
179068,FRAZIER,1997,2450665.5,217,1330,5,Debris Burning,2450665.5,217,1500,3.7,B,44.7569,-101.7949
37046,SANDY,2009,2455048.5,217,1217,1,Lightning,2455049.5,218,2000,0.25,A,45.54805556,-115.5555556
1349956,,2001,2452126.5,217,,4,Campfire,,,,2,B,44.48018,-74.238776
227301,POCO,1999,2451395.5,217,1200,1,Lightning,2451398.5,220,1800,5985,G,39.6277,-118.3232
588449,,2009,2455048.5,217,,1,Lightning,,,,75,C,34.35,-80.58334
368452,WEST BOUNDARY WF,2004,2453221.5,217,1145,9,Miscellaneous,2453222.5,218,945,65.5,C,29.565,-94.35444444
1115322,FALSE ALARM              ,1998,2451030.5,217,,5,Debris Burning,,,,0.1,A,39.19888888,-121.5469444
1544284,BURN ON DORRIS PLACE,2010,2455413.5,217,,5,Debris Burning,,,,5,B,34.77115544,-102.1712409
532620,,2008,2454683.5,218,,13,Missing/Undefined,,,,0.1,A,35.13398,-82.70145
37521,MDF DH FLUKEY,2009,2455049.5,218,1746,1,Lightning,2455049.5,218,1819,0.1,A,41.65277778,-121.2772222
61206,,1994,2449570.5,218,710,1,Lightning,2449570.5,218,1500,0.1,A,45.72166667,-114.7383333
88875,AMBER,1996,2450300.5,218,1900,1,Lightning,2450301.5,219,30,1,B,34.45333333,-112.495
326524,URAVAN AIR,2002,2452492.5,218,1334,1,Lightning,2452496.5,222,1800,0.1,A,38.3805,-108.6979
593110,,2006,2453953.5,218,,1,Lightning,,,,1,B,44.44280001,-103.6145
1217232,RAGSDALE,2009,2455049.5,218,2108,4,Campfire,2455050.5,219,1049,0.1,A,39.3047,-114.9386
21177,DAWSON,2007,2454318.5,218,1030,4,Campfire,2454318.5,218,1130,0.1,A,36.09972222,-106.5427778
1454704,PORCUPINE,2011,2455779.5,218,1720,1,Lightning,2455782.5,221,,0.25,A,45.49527778,-114.1977778
1526191,LINDEN - 371,2011,2455779.5,218,1206,5,Debris Burning,2455779.5,218,1322,14,C,32.67076667,-94.36756667
