,OBJECT_ID,CITY,COUNTY,STATE,COUNTRY
401,1356079,Pikeville,Bledsoe County,Tennessee,US
402,1506359,Columbia,Marion County,Mississippi,US
403,1441612,Fayetteville,Lincoln County,Tennessee,US
404,1808394,Sam Rayburn,Jasper County,Texas,US
405,624506,Hilltop Lakes,Leon County,Texas,US
406,1584548,Wartburg,Morgan County,Tennessee,US
407,1710092,Cabo Rojo,,Cabo Rojo,PR
408,1154368,Chatom,Washington County,Alabama,US
409,1042742,Angier,Harnett County,North Carolina,US
410,1587725,Lake City,Florence County,South Carolina,US
411,933580,Mount Pleasant,Maury County,Tennessee,US
412,1873163,Auberry,Fresno County,California,US
413,6920,Santa Clarita,Los Angeles County,California,US
414,1026176,Maiden,Catawba County,North Carolina,US
415,1242576,Alma,Bacon County,Georgia,US
416,581440,Pamplico,Florence County,South Carolina,US
417,1512583,Pike Road,Montgomery County,Alabama,US
418,971005,Lake City,Columbia County,Florida,US
419,1549725,Barton Creek,Travis County,Texas,US
420,1473754,North Hartsville,Darlington County,South Carolina,US
421,1687400,Point Baker,Santa Rosa County,Florida,US
422,1603240,Greensburg,Saint Helena Parish,Louisiana,US
423,460328,Oakwood,Newton County,Georgia,US
424,841407,Troy,Pike County,Alabama,US
425,457683,Darien,McIntosh County,Georgia,US
426,886196,Rosepine,Vernon Parish,Louisiana,US
427,1684318,Hazlehurst,Jeff Davis County,Georgia,US
428,1473827,North Hartsville,Darlington County,South Carolina,US
429,748134,Simpsonville,Greenville County,South Carolina,US
430,1377943,Jesup,Wayne County,Georgia,US
431,618196,Livingston,Polk County,Texas,US
432,892648,Oakdale,Allen Parish,Louisiana,US
433,1529828,Elgin,Bastrop County,Texas,US
434,58604,Toccoa,Stephens County,Georgia,US
435,1549785,Meridian,Bosque County,Texas,US
436,1549791,Beeville,Bee County,Texas,US
437,1838993,Hurley,Jackson County,Mississippi,US
438,1549786,Seven Points,Henderson County,Texas,US
439,991911,Florida City,Miami-Dade County,Florida,US
440,1774309,Jasper,Walker County,Alabama,US
441,1001121,West Marion,McDowell County,North Carolina,US
442,1006302,Icard,Burke County,North Carolina,US
443,600092,Ames,Liberty County,Texas,US
444,461242,Reidsville,Tattnall County,Georgia,US
445,626279,Liberty City,Gregg County,Texas,US
446,481543,Hughesville,Charles County,Maryland,US
447,17972,La Crescenta-Montrose,Los Angeles County,California,US
448,1375432,Butler,Taylor County,Georgia,US
449,1530023,Bowie,Montague County,Texas,US
450,1703705,Las Marias,,Las Marias,PR
451,283807,Campo,San Diego County,California,US
452,384725,Sulphur Springs,Jefferson County,Arkansas,US
453,1415834,Dawsonville,Dawson County,Georgia,US
